pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,player_id,season
24,HOU,Sam Cassell,Florida State,15.0,993,29812,15635.0,3221.0,5939.0,0.454,0.331,0.861,30.0,15.7,3.2,6.0,87.5,0.141,1.8,28.8,cassesa01,1993
25,CHI,Corie Blount,Cincinnati,11.0,644,9925,2287.0,2690.0,460.0,0.471,0.115,0.587,15.4,3.6,4.2,0.7,18.2,0.088,-2.5,-1.1,blounco01,1993
26,ORL,Geert Hammink,LSU,3.0,8,27,14.0,7.0,2.0,0.4,0.0,0.667,3.4,1.8,0.9,0.3,0.1,0.089,-3.7,0.0,hammige01,1993
27,PHO,Malcolm Mackey,Georgia Tech,1.0,22,69,32.0,24.0,1.0,0.378,0.0,0.5,3.1,1.5,1.1,0.0,0.1,0.036,-8.7,-0.1,mackema01,1993
28,DAL,Lucious Harris,Cal State Long Beach,12.0,800,15701,5784.0,1864.0,1130.0,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5,harrilu01,1993
29,MIN,Sherron Mills,VCU,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,millssh01,1993
30,WSB,Gheorghe Mureșan,,6.0,307,6729,3020.0,1957.0,150.0,0.573,0.0,0.644,21.9,9.8,6.4,0.5,19.0,0.136,-0.3,2.9,muresgh01,1993
31,SAC,Evers Burns,Maryland,1.0,23,143,56.0,30.0,9.0,0.4,0.0,0.522,6.2,2.4,1.3,0.4,0.1,0.02,-5.5,-0.1,burnsev01,1993
32,PHI,Alphonso Ford,Mississippi Valley State University,2.0,11,114,35.0,20.0,10.0,0.308,0.1,0.5,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2,fordal01,1993
33,DAL,Eric Riley,Michigan,5.0,186,1844,574.0,479.0,60.0,0.456,0.0,0.704,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9,rileyer01,1993
34,GSW,Darnell Mee,Western Kentucky,2.0,40,293,76.0,36.0,18.0,0.312,0.222,0.444,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1,meeda01,1993
35,MIA,Ed Stokes,Arizona,1.0,4,17,3.0,4.0,1.0,0.333,0.0,0.5,4.3,0.8,1.0,0.3,0.0,-0.077,-7.6,0.0,stokeed01,1993
36,NJN,John Best,Tennessee Technological University,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bestjo01,1993
37,LAL,Nick Van Exel,Cincinnati,13.0,880,28969,12658.0,2545.0,5777.0,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7,vanexni01,1993
38,WSB,Conrad McRae,Syracuse,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mcraeco01,1993
39,IND,Thomas Hill,Duke,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hillth01,1993
40,ATL,Rich Manning,Washington,2.0,55,512,182.0,94.0,10.0,0.415,0.4,0.643,9.3,3.3,1.7,0.2,-0.3,-0.028,-8.3,-0.8,manniri01,1993
41,CHI,Anthony Reed,Tulane,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reedan01,1993
42,SEA,Adonis Jordan,Kansas,2.0,10,97,21.0,6.0,22.0,0.296,0.25,0.5,9.7,2.1,0.6,2.2,0.0,-0.015,-2.9,0.0,jordaad01,1993
43,DEN,Josh Grant,Utah,1.0,53,382,157.0,89.0,24.0,0.404,0.279,0.759,7.2,3.0,1.7,0.5,0.5,0.06,-2.3,0.0,grantjo01,1993
44,SAC,Alex Holcombe,Baylor,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,holcoal01,1993
